id;id_pelanggan;nama;alamat;no_hp;email;password;id_paket;ip_router;ip_parent_router;remark1;remark2;remark3;id_server
754;AS06000000023;WOLAK WALIK hari bolo;ASRI;;user23@mail.com;111111;19;192.168.85.104;192.168.85.129;0;;;1
412;BE06000000001;SERVER BEROKAN;BEROKAN;;user24@mail.com;111111;15;192.168.82.1;192.168.82.1;0;;;9
413;BE06000000002;fortuna;BEROKAN;;user25@mail.com;111111;15;192.168.38.1;192.168.82.1;0;;;9
414;BE06000000003;pekojan/pak bs;BEROKAN;;user26@mail.com;111111;15;192.168.38.2;192.168.38.5;0;;;9
415;BE06000000004;adib gigih;BEROKAN;;user27@mail.com;111111;15;192.168.38.3;192.168.38.51;0;;;9
416;BE06000000005;jarwanto / ridwan motor;BEROKAN;;user28@mail.com;111111;15;192.168.38.4;192.168.82.1;0;;;9
417;BE06000000006;rismanto;BEROKAN;;user29@mail.com;111111;15;192.168.38.5;192.168.38.4;0;;;9
418;BE06000000007;tigafah;BEROKAN;;user30@mail.com;111111;15;192.168.38.6;192.168.38.5;0;;;9
420;BE06000000008;kalifatul;BEROKAN;;user31@mail.com;111111;15;192.168.38.8;192.168.38.6;0;;;9
422;BE06000000009;keluarga cemra;BEROKAN;;user32@mail.com;111111;15;192.168.38.10;192.168.82.1;0;;;9
424;BE06000000010;ic second;BEROKAN;;user33@mail.com;111111;15;192.168.38.12;192.168.82.1;0;;;9
425;BE06000000011;isti;BEROKAN;;user34@mail.com;111111;15;192.168.38.13;192.168.38.4;0;;;9
426;BE06000000012;hendri ade;BEROKAN;;user35@mail.com;111111;15;192.168.38.15;192.168.82.1;0;;;9
427;BE06000000013;sari team;BEROKAN;;user36@mail.com;111111;15;192.168.38.101;192.168.38.13;0;;;9
428;BE06000000014;aa;BEROKAN;;user37@mail.com;111111;15;192.168.38.17;192.168.82.1;0;;;9
430;BE06000000015;alfatih;BEROKAN;;user38@mail.com;111111;15;192.168.38.18;192.168.82.1;0;;;9
431;BE06000000016;azka food;BEROKAN;;user39@mail.com;111111;15;192.168.38.19;192.168.38.15;0;;;9
432;BE06000000017;gibra;BEROKAN;;user40@mail.com;111111;15;192.168.38.20;192.168.82.1;0;;;9
433;BE06000000018;rumah nor;BEROKAN;;user41@mail.com;111111;15;192.168.38.21;192.168.38.50;0;;;9
434;BE06000000019;lubab;BEROKAN;;user42@mail.com;111111;15;192.168.38.22;192.168.82.1;0;;;9
435;BE06000000020;arudatya97;BEROKAN;;user43@mail.com;111111;15;192.168.38.23;192.168.82.1;0;;;9
436;BE06000000021;seba;BEROKAN;;user44@mail.com;111111;15;192.168.38.24;192.168.38.17;0;;;9
672;BE06000000022;albet mbah por;BEROKAN;;user45@mail.com;111111;15;192.168.38.50;192.168.38.4;0;;;9
673;BE06000000023;syahir;BEROKAN;;user46@mail.com;111111;15;192.168.38.51;192.168.38.4;0;;;9
674;BE06000000024;MERIESYA;BEROKAN;;user47@mail.com;111111;15;192.168.38.52;192.168.38.4;0;;;9
675;BE06000000025;kamila;BEROKAN;;user48@mail.com;111111;15;192.168.38.53;192.168.82.1;0;;;9
676;BE06000000026;warung makan pojok;BEROKAN;;user49@mail.com;111111;15;192.168.38.54;192.168.38.3;0;;;9
677;BE06000000027;al ziki;BEROKAN;;user50@mail.com;111111;15;192.168.38.102;192.168.38.17;0;;;9
678;BE06000000028;mendring;BEROKAN;;user51@mail.com;111111;15;192.168.38.56;192.168.38.54;0;;;9
716;BE06000000029;andira;BEROKAN;;user52@mail.com;111111;15;192.168.38.90;192.168.82.1;0;;;9
717;BE06000000030;sabililut;BEROKAN;;user53@mail.com;111111;15;192.168.38.14;192.168.82.1;0;;;9
718;BE06000000031;quanquin;BEROKAN;;user54@mail.com;111111;15;192.168.38.60;192.168.38.17;0;;;9
719;BE06000000032;bundel;BEROKAN;;user55@mail.com;111111;15;192.168.38.46;192.168.82.1;0;;;9
720;BE06000000033;PAK JAYLANY;BEROKAN;;user56@mail.com;111111;15;192.168.38.61;192.168.82.1;0;;;9
721;BE06000000034;MBAH PUR;BEROKAN;;user57@mail.com;111111;15;192.168.38.55;192.168.82.1;0;;;9
722;BE06000000035;gania;BEROKAN;;user58@mail.com;111111;15;192.168.38.93;192.168.82.1;0;;;9
748;BE06000000036;SINI SUKA;BEROKAN;;user59@mail.com;111111;15;192.168.38.109;192.168.82.1;0;;;9
83;BR06000000001;Server Breyon;BREYON;;user60@mail.com;111111;15;91.91.91.1;91.91.91.1;0;;;4
84;BR06000000002;Jito;BREYON;;user61@mail.com;111111;15;192.168.62.21;91.91.91.1;1;;;4
86;BR06000000003;Gono;BREYON;;user62@mail.com;111111;15;192.168.62.15;91.91.91.1;1;;;4
87;BR06000000004;Nuryanto;BREYON;;user63@mail.com;111111;15;192.168.62.35;91.91.91.1;1;;;4
88;BR06000000005;Rokhim;BREYON;;user64@mail.com;111111;15;192.168.62.16;192.168.62.15;1;;;4
90;BR06000000006;pujianto;BREYON;;user65@mail.com;111111;15;192.168.62.17;192.168.62.16;1;;;4
94;BR06000000007;gunadi;BREYON;;user66@mail.com;111111;15;192.168.62.29;192.168.62.21;1;;;4
97;BR06000000008;mulyadi;BREYON;;user67@mail.com;111111;15;192.168.62.37;192.168.62.21;1;;;4
98;BR06000000009;gepeng / oktavian / abiyuna;BREYON;;user68@mail.com;111111;15;192.168.62.28;192.168.62.37;1;;;4
99;BR06000000010;panjono;BREYON;;user69@mail.com;111111;15;192.168.62.23;192.168.62.21;1;;;4
100;BR06000000011;suprapto;BREYON;;user70@mail.com;111111;15;192.168.62.14;192.168.62.13;1;;;4
101;BR06000000012;supriyanto;BREYON;;user71@mail.com;111111;15;192.168.62.30;192.168.62.21;1;;;4
102;BR06000000013;rakiman;BREYON;;user72@mail.com;111111;15;192.168.62.31;192.168.62.30;1;;;4
105;BR06000000014;poniman;BREYON;;user73@mail.com;111111;15;192.168.62.25;192.168.62.50;1;;;4
108;BR06000000015;trimo;BREYON;;user74@mail.com;111111;15;192.168.62.20;192.168.62.43;1;;;4
533;BR06000000016;Joyo mi;BREYON;;user75@mail.com;111111;15;192.168.62.12;91.91.91.1;1;;;4
534;BR06000000017;wibowo trans;BREYON;;user76@mail.com;111111;15;192.168.62.13;91.91.91.1;1;;;4
535;BR06000000018;pambayun;BREYON;;user77@mail.com;111111;15;192.168.62.2;192.168.62.13;1;;;4
536;BR06000000019;vio;BREYON;;user78@mail.com;111111;15;192.168.62.43;192.168.62.21;1;;;4
700;BR06000000020;joyo tplink;BREYON;;user79@mail.com;111111;15;192.168.62.11;192.168.62.12;1;;;4
702;BR06000000021;kang cis;BREYON;;user80@mail.com;111111;15;192.168.62.45;192.168.62.21;1;;;4
751;BR06000000022;pabrik tahu;BREYON;;user81@mail.com;111111;15;192.168.62.91;192.168.62.31;1;;;4
777;BR06000000023;depan jito;BREYON;;user82@mail.com;111111;15;192.168.62.157;91.91.91.1;1;;;4
778;BR06000000024;depan joyo;BREYON;;user83@mail.com;111111;15;192.168.62.158;91.91.91.1;1;;;4
779;BR06000000025;depan joyo 2;BREYON;;user84@mail.com;111111;15;192.168.62.159;91.91.91.1;1;;;4
371;DE06000000001;SERVER DEREKAN;DEREKAN;;user85@mail.com;111111;18;50.50.50.1;50.50.50.1;0;;;8
372;DE06000000002;raka;DEREKAN;;user86@mail.com;111111;18;192.168.26.2;192.168.26.25;0;;;8
373;DE06000000003;alin;DEREKAN;;user87@mail.com;111111;18;192.168.26.5;50.50.50.1;0;;;8
374;DE06000000004;susan;DEREKAN;;user88@mail.com;111111;18;192.168.26.6;192.168.26.5;0;;;8
375;DE06000000005;wambiyak;DEREKAN;;user89@mail.com;111111;18;192.168.26.7;50.50.50.1;0;;;8
377;DE06000000006;veronika;DEREKAN;;user90@mail.com;111111;18;192.168.26.184;192.168.26.7;0;;;8
378;DE06000000007;masjid;DEREKAN;;user91@mail.com;111111;18;192.168.26.10;192.168.26.25;0;;;8
379;DE06000000008;candra;DEREKAN;;user92@mail.com;111111;18;192.168.26.11;192.168.26.8;0;;;8
380;DE06000000009;sablon;DEREKAN;;user93@mail.com;111111;18;192.168.26.12;50.50.50.1;0;;;8
381;DE06000000010;sobat gaming;DEREKAN;;user94@mail.com;111111;18;192.168.26.13;50.50.50.0;0;;;8
382;DE06000000011;zelva;DEREKAN;;user95@mail.com;111111;18;192.168.26.14;50.50.50.0;0;;;8
383;DE06000000012;reni;DEREKAN;;user96@mail.com;111111;18;192.168.26.15;192.168.26.8;0;;;8
384;DE06000000013;expensive;DEREKAN;;user97@mail.com;111111;18;192.168.26.16;192.168.26.8;0;;;8
385;DE06000000014;pi i;DEREKAN;;user98@mail.com;111111;18;192.168.26.17;192.168.26.8;0;;;8
386;DE06000000015;basecam;DEREKAN;;user99@mail.com;111111;18;192.168.26.18;50.50.50.0;0;;;8
387;DE06000000016;arif purnawan;DEREKAN;;user100@mail.com;111111;18;192.168.26.19;50.50.50.1;0;;;8
388;DE06000000017;sugiyanto huaei;DEREKAN;;user101@mail.com;111111;18;192.168.26.20;192.168.26.27;0;;;8
389;DE06000000018;febri str huawei;DEREKAN;;user102@mail.com;111111;18;192.168.26.21;50.50.50.1;0;;;8
390;DE06000000019;prima poto;DEREKAN;;user103@mail.com;111111;18;192.168.26.22;192.168.26.27;0;;;8
391;DE06000000020;vanesa;DEREKAN;;user104@mail.com;111111;18;192.168.26.23;50.50.50.1;0;;;8
392;DE06000000021;andri;DEREKAN;;user105@mail.com;111111;18;192.168.26.24;192.168.26.171;0;;;8
393;DE06000000022;kadus;DEREKAN;;user106@mail.com;111111;18;192.168.26.25;50.50.50.1;0;;;8
394;DE06000000023;lilik;DEREKAN;;user107@mail.com;111111;18;192.168.26.26;192.168.26.25;0;;;8
395;DE06000000024;tia laundri;DEREKAN;;user108@mail.com;111111;18;192.168.26.27;50.50.50.1;0;;;8
396;DE06000000025;rak isen po;DEREKAN;;user109@mail.com;111111;18;192.168.26.28;192.168.26.27;0;;;8
397;DE06000000026;ariel;DEREKAN;;user110@mail.com;111111;18;192.168.26.29;50.50.50.1;0;;;8
399;DE06000000027;rendi;DEREKAN;;user111@mail.com;111111;18;192.168.26.31;50.50.50.1;0;;;8
400;DE06000000028;hanip;DEREKAN;;user112@mail.com;111111;18;192.168.26.32;192.168.26.27;0;;;8
401;DE06000000029;anggun;DEREKAN;;user113@mail.com;111111;18;192.168.26.33;192.168.26.27;0;;;8
402;DE06000000030;lidia;DEREKAN;;user114@mail.com;111111;18;192.168.26.34;192.168.26.39;0;;;8
403;DE06000000031;alvira;DEREKAN;;user115@mail.com;111111;18;192.168.26.35;192.168.26.27;0;;;8
404;DE06000000032;yusuf (off);DEREKAN;;user116@mail.com;111111;18;192.168.26.36;192.168.26.39;0;;;8
405;DE06000000033;ada yanu;DEREKAN;;user117@mail.com;111111;18;192.168.26.37;50.50.50.1;0;;;8
406;DE06000000034;nirmala;DEREKAN;;user118@mail.com;111111;18;192.168.26.38;192.168.26.25;0;;;8
407;DE06000000035;bandar;DEREKAN;;user119@mail.com;111111;18;192.168.26.3;192.168.26.25;0;;;8
408;DE06000000036;alisekar;DEREKAN;;user120@mail.com;111111;18;192.168.26.4;192.168.26.171;0;;;8
409;DE06000000037;intan ayuk/lurah;DEREKAN;;user121@mail.com;111111;18;192.168.26.39;50.50.50.1;0;;;8
411;DE06000000038;pinggir lurah;DEREKAN;;user122@mail.com;111111;18;192.168.26.50;192.168.26.39;0;;;8
669;DE06000000039;Sob;DEREKAN;;user123@mail.com;111111;18;192.168.26.88;192.168.26.39;0;;;8
670;DE06000000040;hongkong;DEREKAN;;user124@mail.com;111111;18;192.168.26.150;192.168.26.34;0;;;8
671;DE06000000041;depan hongkong;DEREKAN;;user125@mail.com;111111;18;192.168.26.132;192.168.26.150;0;;;8
690;DE06000000042;yunita;DEREKAN;;user126@mail.com;111111;18;192.168.26.153;192.168.26.39;0;;;8
691;DE06000000043;alden;DEREKAN;;user127@mail.com;111111;18;192.168.26.154;192.168.26.39;0;;;8
692;DE06000000044;aska;DEREKAN;;user128@mail.com;111111;18;192.168.26.155;50.50.50.1;0;;;8
693;DE06000000045;gata candra;DEREKAN;;user129@mail.com;111111;18;192.168.26.183;192.168.26.25;0;;;8
694;DE06000000046;amanda23;DEREKAN;;user130@mail.com;111111;18;192.168.26.157;192.168.26.25;0;;;8
711;DE06000000047;doni;DEREKAN;;user131@mail.com;111111;18;192.168.26.90;192.168.26.155;0;;;8
727;DE06000000048;naura;DEREKAN;;user132@mail.com;111111;18;192.168.26.160;192.168.26.12;0;;;8
732;DE06000000049;Yuli;DEREKAN;;user133@mail.com;111111;18;192.168.26.172;192.168.26.25;0;;;8
733;DE06000000050;joko;DEREKAN;;user134@mail.com;111111;18;192.168.26.173;50.50.50.1;0;;;8
749;DE06000000051;kasanah (GANTI IP);DEREKAN;;user135@mail.com;111111;18;192.168.26.170;192.168.26.12;0;;;8
755;DE06000000052;rias / kasanah;DEREKAN;;user136@mail.com;111111;18;192.168.26.171;192.168.26.156;0;;;8
756;DE06000000053;sutrinanik;DEREKAN;;user137@mail.com;111111;18;192.168.26.170;192.168.26.156;0;;;8
758;DE06000000054;yusuff;DEREKAN;;user138@mail.com;111111;18;192.168.26.174;192.168.26.12;0;;;8
760;DE06000000055;mba yul pejet;DEREKAN;;user139@mail.com;111111;18;192.168.26.182;192.168.26.39;0;;;8
761;DE06000000056;abimanyu;DEREKAN;;user140@mail.com;111111;18;192.168.26.175;50.50.50.1;0;;;8
762;DE06000000057;irmawati;DEREKAN;;user141@mail.com;111111;18;192.168.26.30;50.50.50.1;0;;;8
763;DE06000000058;fando;DEREKAN;;user142@mail.com;111111;18;192.168.26.181;50.50.50.1;0;;;8
764;DE06000000059;yulia novi;DEREKAN;;user143@mail.com;111111;18;192.168.26.180;192.168.26.39;0;;;8
765;DE06000000060;rani;DEREKAN;;user144@mail.com;111111;18;192.168.26.159;50.50.50.1;0;;;8
766;DE06000000061;rumah pojok;DEREKAN;;user145@mail.com;111111;18;192.168.26.151;50.50.50.1;0;;;8
767;DE06000000062;rifta;DEREKAN;;user146@mail.com;111111;18;192.168.26.138;192.168.26.39;0;;;8
768;DE06000000063;anang;DEREKAN;;user147@mail.com;111111;18;192.168.26.134;50.50.50.1;0;;;8
769;DE06000000064;kensnack;DEREKAN;;user148@mail.com;111111;18;192.168.26.133;192.168.26.39;0;;;8
770;DE06000000065;FAEYZA ADHA;DEREKAN;;user149@mail.com;111111;18;192.168.26.91;192.168.26.39;0;;;8
771;DE06000000066;ambar dk;DEREKAN;;user150@mail.com;111111;18;192.168.26.8;50.50.50.1;0;;;8
774;DE06000000067;new danu;DEREKAN;;user151@mail.com;111111;18;192.168.26.190;192.168.26.154;0;;;8
194;HE06000000001;SERVER HERI;HERI;;user152@mail.com;111111;15;31.31.31.1;31.31.31.1;1;;;6
195;HE06000000002;HARYADI KOS ATAS;HERI;;user153@mail.com;111111;15;192.168.61.1;192.168.61.53;1;;;6
196;HE06000000003;YUNISARONO;HERI;;user154@mail.com;111111;15;192.168.61.2;192.168.61.13;1;;;6
197;HE06000000004;RASYID;HERI;;user155@mail.com;111111;15;192.168.61.3;31.31.31.1;1;;;6
198;HE06000000005;EDI WICAKSONO;HERI;;user156@mail.com;111111;15;192.168.61.4;192.168.61.3;1;;;6
199;HE06000000006;TOYO /RINI;HERI;;user157@mail.com;111111;15;192.168.61.5;192.168.61.71;1;;;6
200;HE06000000007;RISKI CHEN;HERI;;user158@mail.com;111111;15;192.168.61.6;192.168.61.5;1;;;6
201;HE06000000008;FREDI PURNO;HERI;;user159@mail.com;111111;15;192.168.61.7;31.31.31.1;1;;;6
202;HE06000000009;DN;HERI;;user160@mail.com;111111;15;192.168.61.9;31.31.31.1;1;;;6
203;HE06000000010;TOKO RISKI;HERI;;user161@mail.com;111111;15;192.168.61.8;192.168.61.13;1;;;6
204;HE06000000011;RIFKI KIKI POKEL;HERI;;user162@mail.com;111111;15;192.168.61.10;192.168.61.5;1;;;6
205;HE06000000012;SYIFA;HERI;;user163@mail.com;111111;15;192.168.61.11;31.31.31.1;1;;;6
206;HE06000000013;AFAHIRA;HERI;;user164@mail.com;111111;15;192.168.61.12;192.168.61.13;1;;;6
207;HE06000000014;TIKA;HERI;;user165@mail.com;111111;15;192.168.61.13;31.31.31.1;1;;;6
208;HE06000000015;POS SLAMET;HERI;;user166@mail.com;111111;15;192.168.61.15;192.168.61.10;1;;;6
209;HE06000000016;AKBAR;HERI;;user167@mail.com;111111;15;192.168.61.16;192.168.61.10;1;;;6
210;HE06000000017;NAFISAH;HERI;;user168@mail.com;111111;15;192.168.61.18;192.168.61.20;1;;;6
211;HE06000000018;HARYADI DEPAN;HERI;;user169@mail.com;111111;15;192.168.61.19;192.168.61.53;1;;;6
212;HE06000000019;DEDIK;HERI;;user170@mail.com;111111;15;192.168.61.20;192.168.61.85;1;;;6
213;HE06000000020;REGAN;HERI;;user171@mail.com;111111;15;192.168.61.21;192.168.61.85;1;;;6
214;HE06000000021;AQILA;HERI;;user172@mail.com;111111;15;192.168.61.22;192.168.61.90;1;;;6
216;HE06000000022;IPIN;HERI;;user173@mail.com;111111;15;192.168.61.24;192.168.61.53;1;;;6
217;HE06000000023;EDI MANGGALA;HERI;;user174@mail.com;111111;15;192.168.61.53;31.31.31.1;1;;;6
218;HE06000000024;MIN GEMBLONG;HERI;;user175@mail.com;111111;15;192.168.61.82;192.168.61.85;1;;;6
219;HE06000000025;VERA;HERI;;user176@mail.com;111111;15;192.168.60.85;192.168.60.19;1;;;6
220;HE06000000026;SUMAY NADA;HERI;;user177@mail.com;111111;15;192.168.60.30;192.168.60.35;1;;;6
221;HE06000000027;WIFI10 / PAHAT;HERI;;user178@mail.com;111111;15;192.168.60.31;192.168.60.99;1;;;6
222;HE06000000028;RUMAH WIFI  /AGUNG;HERI;;user179@mail.com;111111;15;192.168.60.32;192.168.60.49;1;;;6
223;HE06000000029;MYHOME / SIGIT;HERI;;user180@mail.com;111111;15;192.168.60.34;192.168.60.36;1;;;6
224;HE06000000030;CEBONG NET;HERI;;user181@mail.com;111111;15;192.168.60.35;192.168.60.99;1;;;6
225;HE06000000031;KIRINBOT;HERI;;user182@mail.com;111111;15;192.168.60.36;192.168.60.31;1;;;6
226;HE06000000032;WIFI6 / fedbi;HERI;;user183@mail.com;111111;15;192.168.60.99;31.31.31.1;1;;;6
227;HE06000000033;Umi;HERI;;user184@mail.com;111111;15;192.168.60.38;192.168.60.48;1;;;6
228;HE06000000034;GILAR /RT INTAN;HERI;;user185@mail.com;111111;15;192.168.60.39;192.168.60.34;1;;;6
229;HE06000000035;HALIM / ISNA;HERI;;user186@mail.com;111111;15;192.168.60.40;192.168.60.36;1;;;6
231;HE06000000036;FA CORNER;HERI;;user187@mail.com;111111;15;192.168.60.42;192.168.60.31;1;;;6
232;HE06000000037;WIFI / APRI;HERI;;user188@mail.com;111111;15;192.168.60.43;192.168.60.31;1;;;6
233;HE06000000038;CANTIK /TTOLINK /INT;HERI;;user189@mail.com;111111;15;192.168.60.44;192.168.60.39;1;;;6
234;HE06000000039;ARISA;HERI;;user190@mail.com;111111;15;192.168.60.45;192.168.60.43;1;;;6
235;HE06000000040;LAHISA;HERI;;user191@mail.com;111111;15;192.168.60.46;192.168.60.43;1;;;6
236;HE06000000041;ELIYAS / WANDOKO;HERI;;user192@mail.com;111111;15;192.168.60.47;192.168.60.60;1;;;6
237;HE06000000042;BERKAH TELUR;HERI;;user193@mail.com;111111;15;192.168.60.48;192.168.60.56;1;;;6
238;HE06000000043;ZIA&KIARA MUNJIA;HERI;;user194@mail.com;111111;15;192.168.60.49;192.168.60.30;1;;;6
239;HE06000000044;YATINO;HERI;;user195@mail.com;111111;15;192.168.60.50;192.168.60.30;1;;;6
240;HE06000000045;NARA 14;HERI;;user196@mail.com;111111;15;192.168.60.54;192.168.60.49;1;;;6
241;HE06000000046;MAIL NET / MAT;HERI;;user197@mail.com;111111;15;192.168.60.55;192.168.60.43;1;;;6
242;HE06000000047;TIGER /RIPTO;HERI;;user198@mail.com;111111;15;192.168.60.56;192.168.60.35;1;;;6
243;HE06000000048;SURYA GANTENG 17;HERI;;user199@mail.com;111111;15;192.168.60.57;192.168.60.58;1;;;6
244;HE06000000049;ANAKE PA RT /retno;HERI;;user200@mail.com;111111;15;192.168.60.58;192.168.60.50;1;;;6
245;HE06000000050;AJIK;HERI;;user201@mail.com;111111;15;192.168.60.60;192.168.60.43;1;;;6
246;HE06000000051;mbahsarirohim/pri;HERI;;user202@mail.com;111111;15;192.168.60.81;192.168.60.30;1;;;6
247;HE06000000052;TEGAL STRO;HERI;;user203@mail.com;111111;15;192.168.61.83;192.168.61.82;1;;;6
248;HE06000000053;AZKA heri;HERI;;user204@mail.com;111111;15;192.168.61.84;192.168.61.15;1;;;6
249;HE06000000054;RUMAH WIFI / RONI;HERI;;user205@mail.com;111111;15;192.168.60.90;192.168.60.53;1;;;6
537;HE06000000055;HARIADI KOS SD;HERI;;user206@mail.com;111111;15;192.168.61.71;192.168.61.3;1;;;6
538;HE06000000056;vera;HERI;;user207@mail.com;111111;15;192.168.61.85;192.168.61.19;1;;;6
696;HE06000000057;angga;HERI;;user208@mail.com;111111;15;192.168.60.73;192.168.60.50;1;;;6
697;HE06000000058;Ruhu;HERI;;user209@mail.com;111111;15;192.168.60.74;192.168.60.50;1;;;6
698;HE06000000059;haryadi blkng;HERI;;user210@mail.com;111111;15;192.168.61.90;192.168.61.53;1;;;6
699;HE06000000060;haryadi kos tengah;HERI;;user211@mail.com;111111;15;192.168.61.91;192.168.61.90;1;;;6
709;HE06000000061;rara mas in;HERI;;user212@mail.com;111111;15;192.168.60.93;192.168.60.40;1;;;6
710;HE06000000062;ismunantun;HERI;;user213@mail.com;111111;15;192.168.60.101;192.168.60.34;1;;;6
730;HE06000000063;sadewohil/ pinggir heri;HERI;;user214@mail.com;111111;15;192.168.61.97;31.31.31.1;1;;;6
759;HE06000000064;gamelan heri;HERI;;user215@mail.com;111111;15;192.168.61.94;192.168.61.97;1;;;6
79;NA06000000001;Server Namar;NAMAR;;user216@mail.com;111111;15;192.168.30.200;192.168.30.200;0;;;2
80;NA06000000002;Cak soleh;NAMAR;;user217@mail.com;111111;15;192.168.31.10;192.168.30.200;0;;;2
81;NA06000000003;Rt laundry;NAMAR;;user218@mail.com;111111;15;192.168.31.9;192.168.31.73;0;;;2
131;NA06000000004;wifi;NAMAR;;user219@mail.com;111111;15;192.168.31.3;192.168.31.10;0;;;2
132;NA06000000005;ujang;NAMAR;;user220@mail.com;111111;15;192.168.31.71;192.168.31.69;0;;;2
133;NA06000000006;pak aris;NAMAR;;user221@mail.com;111111;15;192.168.31.69;192.168.31.10;0;;;2
134;NA06000000007;ujang saefudin umar;NAMAR;;user222@mail.com;111111;15;192.168.31.42;192.168.31.4;0;;;2
135;NA06000000008;agis;NAMAR;;user223@mail.com;111111;15;192.168.31.72;192.168.31.10;0;;;2
136;NA06000000009;tri wahyuni;NAMAR;;user224@mail.com;111111;15;192.168.31.7;192.168.31.10;0;;;2
137;NA06000000010;dela;NAMAR;;user225@mail.com;111111;15;192.168.31.73;192.168.31.7;0;;;2
138;NA06000000011;mbah harto;NAMAR;;user226@mail.com;111111;15;192.168.31.8;192.168.31.3;0;;;2
148;NA06000000012;LUKMAN/DESINTA;NAMAR;;user227@mail.com;111111;15;192.168.30.11;192.168.30.200;0;;;2
149;NA06000000013;SORENK;NAMAR;;user228@mail.com;111111;15;192.168.30.12;192.168.30.68;0;;;2
151;NA06000000014;JACKWIEN;NAMAR;;user229@mail.com;111111;15;192.168.30.15;192.168.30.66;0;;;2
152;NA06000000015;WENDI;NAMAR;;user230@mail.com;111111;15;192.168.30.16;192.168.30.53;0;;;2
153;NA06000000016;NURUL /JANGKRIK MAS;NAMAR;;user231@mail.com;111111;15;192.168.30.18;192.168.30.53;0;;;2
154;NA06000000017;RIRIN PUTRI;NAMAR;;user232@mail.com;111111;15;192.168.30.19;192.168.30.53;0;;;2
155;NA06000000018;ZAM;NAMAR;;user233@mail.com;111111;15;192.168.30.53;192.168.30.59;0;;;2
156;NA06000000019;GIDEON;NAMAR;;user234@mail.com;111111;15;192.168.30.21;192.168.30.53;0;;;2
157;NA06000000020;BAMBANG;NAMAR;;user235@mail.com;111111;15;192.168.30.51;192.168.30.200;0;;;2
158;NA06000000021;ardania devi;NAMAR;;user236@mail.com;111111;15;192.168.30.23;192.168.30.200;0;;;2
160;NA06000000022;INTERIOR SARYADI;NAMAR;;user237@mail.com;111111;15;192.168.30.25;192.168.30.200;0;;;2
161;NA06000000023;INDAH;NAMAR;;user238@mail.com;111111;15;192.168.30.26;192.168.30.25;0;;;2
162;NA06000000024;CILOK GAUL;NAMAR;;user239@mail.com;111111;15;192.168.30.27;192.168.30.28;0;;;2
163;NA06000000025;CILOT AREMA;NAMAR;;user240@mail.com;111111;15;192.168.30.28;192.168.30.200;0;;;2
164;NA06000000026;Y&D warso;NAMAR;;user241@mail.com;111111;15;192.168.30.40;192.168.30.26;0;;;2
169;NA06000000027;ABIMANA;NAMAR;;user242@mail.com;111111;15;192.168.30.55;192.168.30.63;0;;;2
